最大何倍株	オーナー株%	売上成長率_平均	経常利益率_平均	想定時価総額	売買回転率
	30.41	25.0	2.8	3944400000.0	-0.0
3.9	88.79	19.7	2.9	1702800000.0	6.752
3.5	0.0	4.9	4.4	4460967600.0	2.525
4.2	5.01	12.3	5.5	8843478180.0	0.335
22.7	20.79	177.1	222.8	5524200000.0	4.353
72.9	58.23	8.3	17.6	7427616000.0	13.799
14.7	18.86	329.4	36.1	41097640000.0	0.787
11.2	71.17	192.8	33.7	578528904000.0	0.659
9.0	51.26	-0.8	6.1	4140000000.0	1.331
11.8	89.17	145.2	40.5	3415500000.0	28.367
5.7	53.870000000000005	10.7	3.1	1156952000.0	4.12
17.7	39.18000000000001	-2.1	10.8	3877145000.0	0.983
7.6	79.97999999999999	-19.0	11.3	9576000000.0	11.035
19.9	10.58	1428.3	1358.7	9433200000.0	6.21
25.5	30.65	40.3	2.1	1546400000.0	116.579
5.8	22.65	-2.6	21.2	10713304000.0	0.521
5.9	23.2	12.4	3.2	7562324000.0	13.876
22.0	67.85000000000001	36.1	6.2	2094420000.0	50.431
	68.92	6.8	17.2	3170670000.0	-0.0
	2.01	13.6	5.2	5671000000.0	-0.0
37.0	12.09	75.7	12.8	2856060000.0	16.096
10.4	2.67	-49.2	55.8	21227520000.0	0.355
22.7	61.09	19.2	3.8	3468000000.0	16.876
10.0	0.82	24.4	2.1	3145992120.0	4.265
7.3	54.98	15.4	3.2	3449202900.0	3.289
10.7	81.74000000000001	5.7	9.5	2274000000.0	0.815
21.8	8.46	116.4	111.0	4771620000.0	3.397
5.7	85.25000000000001	-5.1	2.5	8400000000.0	0.771
38.0	69.94999999999999	48.4	18.6	1593600000.0	5.999
	90.14	-13.7	18.2	2966400000.0	-0.0
	55.08		4.3	12944700000.0	-0.0
2.7	0.0	1.5	14.8	3000800000.0	0.414
11.2	0.0	13.0	3.3	66580395000.0	2.338
12.4	0.0	3.5	5.9	4655000000.0	1.35
3.7	6.56	5.9	16.9	4787716000.0	3.765
4.1	66.26	249.0	18.4	3804480000.0	10.957
7.5	89.82	-12.9	6.0	352450000.0	0.276
17.6	28.57	108.9	26.2	4195690000.0	262.461
7.4	33.32	24.9	3.0	4004000000.0	0.968
21.6	60.94	9.8	1.6	1897500000.0	6.344
3.9	56.28	20.6	12.5	2613000000.0	27.376
13.2	0.0	2.1	26.3	31355700000.0	6.413
5.6	5.55	-18.8	7.2	20114432000.0	0.326
15.7	86.82	132.1	38.9	22887090000.0	27.596
2.9	84.18	8.6	19.0	4906170000.0	1.772
4.7	53.46	267.2	17.8	1931592000.0	3.608
	0.0	-50.0	62.7	11098720000.0	-0.0
11.9	18.86	0.1	7.8	2618000000.0	36.126
14.7	69.53	115.8	16.5	2967250000.0	27.056
8.6	0.0	17.8	174.6	2926650000.0	46.557
		16.0	3.8		
16.0	18.97	19.6	1.5	2376000000.0	1.776
3.4	79.08999999999999	3.4	4.0	1213504000.0	4.929
3.9	27.66	7.9	2.9	3763890120.0	0.26
11.2	0.0	-1.4	3.7	6474432840.0	1.759
4.1	64.4	52.4	15.3	4226625000.0	8.368
12.3	68.28	4.9	9.4	4977240000.0	1.71
	38.71	20.9	4.0	1242000000.0	-0.0
2.2	87.13	61.9	3.8	5387062500.0	5.115
1.5	0.0	69.2	12.7	687324080000.0	0.001
	37.65	15.7	3.1	3380000000.0	-0.0
11.7	39.03	8.4	14.6	2691420000.0	88.848
13.6	26.52	171.7	59.0	2762604000.0	43.767
	65.17999999999999	66.9	18.8	2033880000.0	-0.0
3.9	55.64	154.2	27.7	5058000000.0	3.925
	0.0	-3.3	0.8	1986950000.0	-0.0
2.5	99.5	2.8	1.3	2318000000.0	4.542
5.0	58.86	22.3	7.2	1365600000.0	33.159
33.8	72.33000000000001	3.5	13.8	756000000.0	32.137
34.8	99.42	30.8	6.7	1550400000.0	88.161
17.1	83.42	2.4	19.2	1645687500.0	4.901
2.8	66.28999999999999	-11.9	7.7	3348229500.0	0.456
3.3	75.45	-6.4	13.1	6757680000.0	2.464
11.4	68.7	15.4	12.2	3135600000.0	8.583
28.0	78.52	-6.2	9.1	4175000000.0	10.23
2.8	0.0			50468400000.0	0.705
25.7	29.35	19.6	12.0	1788790000.0	106.767
6.2	53.260000000000005	-0.1	1.6	2661056000.0	0.758
12.3	38.0	62.3	9.2	5153400000.0	8.736
5.0	76.0	2.1	6.8	2252500000.0	0.335
	91.67	6.3	2.1	9236743750.0	-0.0
	62.8			2072200000.0	
3.7	27.15	12.1	13.4	6155500000.0	1.295
6.7	47.22	12.8	1.5	3596640000.0	4.088
12.0	65.25	-13.8	2.6	6407564000.0	6.042
2.4	0.0			136500000000.0	0.782
12.4	72.42	33.1	2.2	1461824000.0	14.953
10.9	56.28	62.7	24.0	13334111000.0	111.92
4.3	56.24	12.2	5.9	4454100000.0	14.287
6.6	27.56	3.8	4.8	6865500000.0	3.345
3.5	55.5	9.5	13.3	2321400000.0	4.214
1.7	94.76	44.4	14.4	5794500000.0	2.592
3.3	74.35	70.6	10.3	9871600000.0	20.115
2.3	43.43	12.0	32.2	4721200000.0	9.416
3.8	30.95	17.2	7.7	3874940000.0	3.205
6.6	36.540000000000006	3.6	4.4	11600550000.0	18.223
4.6	79.84	30.9	20.6	4692820000.0	87.55
7.7	12.74	126.9	321.1	20595894000.0	1.876
3.8	58.73	9.9	2.6	8046050000.0	1.74
5.2	62.94	54.2	4.9	5787740000.0	12.599
3.5	75.78	67.0	46.2	25525000000.0	5.574
4.7	63.36	15.4	1.7	6690000000.0	20.029
21.4	70.72999999999999	42.8	49.2	5307200000.0	41.776
6.0	91.73	-0.2	3.4	1977600000.0	10.541
	66.33	-1.5	6.0	1799000000.0	-0.0
	73.34	106.6	15.1	9669315000.0	-0.0
17.6	35.21	28.2	13.0	2228400000.0	172.635
12.5	89.44	-2.3	1.7	3919860000.0	4.111
22.6	65.18	32.2	11.6	49172500000.0	6.837
3.4	24.32	32.2	4.8	2307400000.0	10.198
	61.91	33.2	13.6	1490625000.0	-0.0
	89.42999999999999	22.0	4.6	5414775000.0	-0.0
57.0	76.58	24.6	2.6	4711500000.0	12.613
6.2	65.63	17.2	1.1	3225600000.0	8.801
	42.61	48.0	2.0	1756650000.0	-0.0
2.2	100.0	-33.4	5.1	1174200000000.0	0.56
2.7	78.67999999999999	-5.0	3.2	3780000000.0	0.762
4.8	9.41	-0.8	3.0	2013028000.0	3.131
5.6	4.79	21.2	18.3	21334212500.0	29.652
2.8	44.76	2.0	15.5	1296000000.0	3.482
9.9	46.66	170.3	26.7	23453066000.0	35.579
4.0	68.48	41.6	18.1	4020780000.0	79.997
2.5	0.0	1.1	2.2	7410000000.0	0.877
8.6	71.14	-1.5	1.4	28273000000.0	1.636
2.9	5.18	-13.0	8.5	26743716000.0	12.199
3.4	73.65	1.5	15.5	10695000000.0	1.238
1.6	56.98	2.1	1.8	11670280000.0	4.589
8.4	0.0	81.7	3.5	2241000000.0	5.808
5.9	15.48	1.7	2.8	28449601000.0	2.654
5.7	36.02	388.1	31.2	5600000000.0	15.402
9.7	33.96	28.6	4.3	5363200000.0	13.558
2.7	74.21999999999998	3.5	4.1	2007075000.0	9.39
3.0	82.25	-6.0	4.4	1980000000.0	3.225
15.6	69.59	31.5	5.1	2478950000.0	36.743
3.6	27.94	10.4	4.6	1360000000.0	10.222
5.2	27.86	31.2	348.4	4090800000.0	10.897
10.5	95.49	10.8	21.3	1627200000.0	11.945
15.4	71.27999999999999	27.4	5.3	1490280000.0	45.656
